Index,Name,Party,Type,twitter,Ministership / Focus
72,"Bottomley of Nettlestone, Baroness",Conservative,Lord,,
73,"Bowness, Lord",Conservative,Lord,,
74,"Boyce, Lord",Crossbench,Lord,,
75,"Boyd of Duncansby, Lord",Other,Lord,,
76,"Brabazon of Tara, Lord",Conservative,Lord,,
77,"Bradley, Lord",Labour,Lord,,
78,"Bradshaw, Lord",Liberal Democrat,Lord,,
79,"Bragg, Lord",Labour,Lord,,
80,"Bramall, Lord",Crossbench,Lord,,
81,"Brennan, Lord",Labour,Lord,,
82,"Bridgeman, Viscount",Conservative,Lord,,
83,"Bridges, Lord",Other,Lord,,
84,"Briggs, Lord",Other,Lord,,
85,"Brinton, Baroness",Liberal Democrat,Lord,,
86,"Bristol, Bishop",Bishops,Lord,,
87,"Brittan of Spennithorne, Lord",Conservative,Lord,,
88,"Broers, Lord",Crossbench,Lord,,
89,"Brooke of Alverthorpe, Lord",Labour,Lord,,
90,"Brooke of Sutton Mandeville, Lord",Conservative,Lord,,
91,"Brookeborough, Viscount",Crossbench,Lord,,
92,"Brookman, Lord",Labour,Lord,,
93,"Brooks of Tremorfa, Lord",Labour,Lord,,
94,"Brougham and Vaux, Lord",Conservative,Lord,,
95,"Brown of Eaton-under-Heywood, Lord",Crossbench,Lord,,
96,"Browne of Belmont, Lord",Democratic Unionist,Lord,,
97,"Browne of Ladyton, Lord",Labour,Lord,,
98,"Browne of Madingley, Lord",Crossbench,Lord,,
99,"Browne-Wilkinson, Lord",Other,Lord,,
100,"Browning, Baroness",Conservative,Lord,,
101,"Burnett, Lord",Liberal Democrat,Lord,,
102,"Burns, Lord",Crossbench,Lord,,
103,"Buscombe, Baroness",Conservative,Lord,,
104,"Butler of Brockwell, Lord",Crossbench,Lord,,
105,"Butler-Sloss, Baroness",Crossbench,Lord,,
106,"Byford, Baroness",Conservative,Lord,,
107,"Caithness, Earl",Conservative,Lord,,
108,"Cameron of Dillington, Lord",Crossbench,Lord,,
109,"Cameron of Lochbroom, Lord",Crossbench,Lord,,
110,"Campbell of Alloway, Lord",Conservative,Lord,,
111,"Campbell of Loughborough, Baroness",Crossbench,Lord,,
112,"Campbell of Surbiton, Baroness",Crossbench,Lord,,
113,"Campbell-Savours, Lord",Labour,Lord,,
114,"Carey of Clifton, Lord",Crossbench,Lord,,
115,"Carlile of Berriew, Lord",Liberal Democrat,Lord,,
116,"Carrington, Lord",Conservative,Lord,,
117,"Carswell, Lord",Crossbench,Lord,,
118,"Carter of Barnes, Lord",Other,Lord,,
119,"Carter of Coles, Lord",Labour,Lord,,
120,"Cathcart, Earl",Conservative,Lord,,
121,"Cavendish of Furness, Lord",Conservative,Lord,,
122,"Chadlington, Lord",Conservative,Lord,,
123,"Chalfont, Lord",Other,Lord,,
124,"Chalker of Wallasey, Baroness",Conservative,Lord,,
125,"Chandos, Viscount",Labour,Lord,,
126,"Chester, Bishop",Bishops,Lord,,
127,"Chidgey, Lord",Liberal Democrat,Lord,,
128,"Chitnis, Lord",Other,Lord,,
129,"Cholmondeley, Marquess",Other,Lord,,
130,"Chorley, Lord",Crossbench,Lord,,
131,"Christopher, Lord",Labour,Lord,,
132,"Clancarty, Earl",Crossbench,Lord,,
133,"Clark of Calton, Baroness",Other,Lord,,
134,"Clark of Windermere, Lord",Labour,Lord,,
135,"Clarke of Hampstead, Lord",Labour,Lord,,
136,"Clarke of Stone-cum-Ebony, Lord",Other,Lord,,
137,"Clement-Jones, Lord",Liberal Democrat,Lord,,
138,"Clinton-Davis, Lord",Labour,Lord,,
139,"Cobbold, Lord",Crossbench,Lord,,
140,"Coe, Lord",Conservative,Lord,,
141,"Cohen of Pimlico, Baroness",Labour,Lord,,
143,"Collins of Mapesbury, Lord",Non-affiliated (current Member),Lord,,
144,"Colville of Culross, Viscount",Crossbench,Lord,,
145,"Colwyn, Lord",Conservative,Lord,,
146,"Condon, Lord",Crossbench,Lord,,
147,"Cope of Berkeley, Lord",Conservative,Lord,,
148,"Cormack, Lord",Conservative,Lord,,
149,"Corston, Baroness",Labour,Lord,,
150,"Cotter, Lord",Liberal Democrat,Lord,,
151,"Courtown, Earl",Conservative,Lord,,
152,"Coussins, Baroness",Crossbench,Lord,,
153,"Coventry, Bishop",Bishops,Lord,,
154,"Cox, Baroness",Crossbench,Lord,,
155,"Craig of Radley, Lord",Crossbench,Lord,,
156,"Craigavon, Viscount",Crossbench,Lord,,
157,"Crathorne, Lord",Conservative,Lord,,
158,"Crawford and Balcarres, Earl",Conservative,Lord,,
159,"Crawley, Baroness",Labour,Lord,,
160,"Crickhowell, Lord",Conservative,Lord,,
161,"Crisp, Lord",Crossbench,Lord,,
162,"Cullen of Whitekirk, Lord",Crossbench,Lord,,
163,"Cumberlege, Baroness",Conservative,Lord,,
164,"Cunningham of Felling, Lord",Labour,Lord,,
165,"Currie of Marylebone, Lord",Crossbench,Lord,,
166,"Curry of Kirkharle, Lord",Crossbench,Lord,,
167,"Dannatt, Lord",Crossbench,Lord,,
168,"Darzi of Denham, Lord",Labour,Lord,,
169,"Davidson of Glen Clova, Lord",Labour,Lord,,
170,"Davies of Abersoch, Lord",Labour,Lord,,
171,"Davies of Coity, Lord",Labour,Lord,,
172,"Davies of Oldham, Lord",Labour,Lord,,
173,"Davies of Stamford, Lord",Labour,Lord,,
175,"Dean of Thornton-le-Fylde, Baroness",Labour,Lord,,
176,"Dear, Lord",Crossbench,Lord,,
177,"Deben, Lord",Conservative,Lord,,
180,"Denham, Lord",Conservative,Lord,,
181,"Derby, Bishop",Bishops,Lord,,
182,"Desai, Lord",Labour,Lord,,
183,"Dholakia, Lord",Liberal Democrat,Lord,,
184,"Dixon, Lord",Labour,Lord,,
185,"Dixon-Smith, Lord",Conservative,Lord,,
186,"Dobbs, Lord",Conservative,Lord,,
187,"Donaghy, Baroness",Labour,Lord,,
188,"Donoughue, Lord",Labour,Lord,,
189,"Doocey, Baroness",Liberal Democrat,Lord,,
190,"Drake, Baroness",Labour,Lord,,
192,"D'Souza, Baroness",Non-affiliated (current Member),Lord,,
193,"Dubs, Lord",Labour,Lord,,
194,"Dundee, Earl",Conservative,Lord,,
195,"Dykes, Lord",Liberal Democrat,Lord,,
196,"Eames, Lord",Crossbench,Lord,,
197,"Eaton, Baroness",Conservative,Lord,,
198,"Eatwell, Lord",Labour,Lord,,
199,"Eccles of Moulton, Baroness",Conservative,Lord,,
200,"Eccles, Viscount",Conservative,Lord,,
201,"Eden of Winton, Lord",Conservative,Lord,,
202,"Edmiston, Lord",Conservative,Lord,,
203,"Elder, Lord",Labour,Lord,,
204,"Elis-Thomas, Lord",Plaid Cymru,Lord,,
205,"Elton, Lord",Conservative,Lord,,
206,"Elystan-Morgan, Lord",Crossbench,Lord,,
207,"Emerton, Baroness",Crossbench,Lord,,
208,"Empey, Lord",Ulster Unionist Party,Lord,,
209,"Erroll, Earl",Crossbench,Lord,,
210,"Evans of Parkside, Lord",Labour,Lord,,
211,"Evans of Temple Guiting, Lord",Labour,Lord,,
212,"Evans of Watford, Lord",Labour,Lord,,
213,"Exeter, Bishop",Bishops,Lord,,
214,"Ezra, Lord",Liberal Democrat,Lord,,
215,"Falconer of Thoroton, Lord",Labour,Lord,,
216,"Falkender, Baroness",Labour,Lord,,
217,"Falkland, Viscount",Crossbench,Lord,,
218,"Falkner of Margravine, Baroness",Liberal Democrat,Lord,,
219,"Farrington of Ribbleton, Baroness",Labour,Lord,,
220,"Faulkner of Worcester, Lord",Labour,Lord,,
221,"Faulks, Lord",Conservative,Lord,,
222,"Fearn, Lord",Liberal Democrat,Lord,,
223,"Feldman of Elstree, Lord",Conservative,Lord,,
224,"Feldman, Lord",Conservative,Lord,,
225,"Fellowes of West Stafford, Lord",Conservative,Lord,,
226,"Fellowes, Lord",Crossbench,Lord,,
227,"Filkin, Lord",Labour,Lord,,
228,"Fink, Lord",Conservative,Lord,,
229,"Finlay of Llandaff, Baroness",Crossbench,Lord,,
230,"Flather, Baroness",Crossbench,Lord,,
231,"Flight, Lord",Conservative,Lord,,
232,"Fookes, Baroness",Conservative,Lord,,
233,"Ford, Baroness",Non-affiliated (current Member),Lord,,
234,"Forsyth of Drumlean, Lord",Conservative,Lord,,
235,"Foster of Bishop Auckland, Lord",Labour,Lord,,
236,"Foulkes of Cumnock, Lord",Labour,Lord,,
237,"Fowler, Lord",Conservative,Lord,,
238,"Framlingham, Lord",Conservative,Lord,,
239,"Fraser of Carmyllie, Lord",Conservative,Lord,,
240,"Freeman, Lord",Conservative,Lord,,
242,"Freyberg, Lord",Crossbench,Lord,,
243,"Fritchie, Baroness",Crossbench,Lord,,
245,"Garden of Frognal, Baroness",Liberal Democrat,Lord,,
246,"Gardiner of Kimble, Lord",Conservative,Lord,,
247,"Gardner of Parkes, Baroness",Conservative,Lord,,
248,"Garel-Jones, Lord",Conservative,Lord,,
249,"Gavron, Lord",Labour,Lord,,
250,"Geddes, Lord",Conservative,Lord,,
251,"German, Lord",Liberal Democrat,Lord,,
252,"Gibson of Market Rasen, Baroness",Labour,Lord,,
253,"Giddens, Lord",Labour,Lord,,
254,"Gilbert, Lord",Labour,Lord,,
255,"Glasgow, Earl",Liberal Democrat,Lord,,
256,"Glasman, Lord",Labour,Lord,,
257,"Glenarthur, Lord",Conservative,Lord,,
258,"Glendonbrook, Lord",Conservative,Lord,,
259,"Glentoran, Lord",Conservative,Lord,,
260,"Gloucester, Bishop",Bishops,Lord,,
261,"Goff of Chieveley, Lord",Other,Lord,,
262,"Gold, Lord",Conservative,Lord,,
263,"Golding, Baroness",Labour,Lord,,
264,"Goldsmith, Lord",Labour,Lord,,
265,"Goodhart, Lord",Liberal Democrat,Lord,,
266,"Goodlad, Lord",Conservative,Lord,,
267,"Gordon of Strathblane, Lord",Labour,Lord,,
268,"Goschen, Viscount",Conservative,Lord,,
269,"Goudie, Baroness",Labour,Lord,,
270,"Gould of Potternewton, Baroness",Labour,Lord,,
271,"Grabiner, Lord",Labour,Lord,,
272,"Grade of Yarmouth, Lord",Conservative,Lord,,
273,"Graham of Edmonton, Lord",Labour,Lord,,
274,"Grantchester, Lord",Labour,Lord,,
275,"Greaves, Lord",Liberal Democrat,Lord,,
276,"Green of Hurstpierpoint, Lord",Conservative,Lord,,
277,"Greenfield, Baroness",Crossbench,Lord,,
278,"Greengross, Baroness",Crossbench,Lord,,
279,"Greenway, Lord",Crossbench,Lord,,
280,"Grenfell, Lord",Labour,Lord,,
281,"Grey-Thompson, Baroness",Crossbench,Lord,,
282,"Griffiths of Burry Port, Lord",Labour,Lord,,
283,"Griffiths of Fforestfach, Lord",Conservative,Lord,,
284,"Griffiths, Lord",Other,Lord,,
285,"Grocott, Lord",Labour,Lord,,
286,"Guildford, Bishop",Bishops,Lord,,
287,"Guthrie of Craigiebank, Lord",Crossbench,Lord,,
288,"Hale of Richmond, Baroness",Other,Lord,,
289,"Hall of Birkenhead, Lord",Crossbench,Lord,,
290,"Hameed, Lord",Crossbench,Lord,,
291,"Hamilton of Epsom, Lord",Conservative,Lord,,
292,"Hamwee, Baroness",Liberal Democrat,Lord,,
294,"Hannay of Chiswick, Lord",Crossbench,Lord,,
295,"Hanningfield, Lord",Non-affiliated (current Member),Lord,,
296,"Hanworth, Viscount",Labour,Lord,,
297,"Hardie, Lord",Crossbench,Lord,,
298,"Harries of Pentregarth, Lord",Crossbench,Lord,,
299,"Harris of Haringey, Lord",Labour,Lord,,
300,"Harris of Peckham, Lord",Conservative,Lord,,
301,"Harris of Richmond, Baroness",Liberal Democrat,Lord,,
302,"Harrison, Lord",Labour,Lord,,
303,"Hart of Chilton, Lord",Labour,Lord,,
304,"Haskel, Lord",Labour,Lord,,
305,"Haskins, Lord",Crossbench,Lord,,
306,"Hastings of Scarisbrick, Lord",Crossbench,Lord,,
307,"Hattersley, Lord",Labour,Lord,,
308,"Haworth, Lord",Labour,Lord,,
309,"Hayhoe, Lord",Conservative,Lord,,
310,"Hayman, Baroness",Crossbench,Lord,,
311,"Hayter of Kentish Town, Baroness",Labour,Lord,,
312,"Healey, Lord",Labour,Lord,,
313,"Healy of Primrose Hill, Baroness",Labour,Lord,,
314,"Henig, Baroness",Labour,Lord,,
315,"Henley, Lord",Conservative,Lord,,
316,"Hennessy of Nympsfield, Lord",Crossbench,Lord,,
317,"Hereford, Bishop",Bishops,Lord,,
318,"Heseltine, Lord",Conservative,Lord,,
319,"Heyhoe Flint, Baroness",Conservative,Lord,,
320,"Higgins, Lord",Conservative,Lord,,
322,"Hilton of Eggardon, Baroness",Labour,Lord,,
323,"Hodgson of Astley Abbotts, Lord",Conservative,Lord,,
324,"Hoffmann, Lord",Crossbench,Lord,,
325,"Hogg, Baroness",Crossbench,Lord,,
326,"Hollick, Lord",Labour,Lord,,
327,"Hollins, Baroness",Crossbench,Lord,,
328,"Hollis of Heigham, Baroness",Labour,Lord,,
329,"Home, Earl",Conservative,Lord,,
330,"Hooper, Baroness",Conservative,Lord,,
331,"Hope of Craighead, Lord",Other,Lord,,
332,"Hope of Thornes, Lord",Other,Lord,,
333,"Howard of Lympne, Lord",Conservative,Lord,,
334,"Howard of Rising, Lord",Conservative,Lord,,
335,"Howarth of Breckland, Baroness",Crossbench,Lord,,
336,"Howarth of Newport, Lord",Labour,Lord,,
337,"Howe of Aberavon, Lord",Conservative,Lord,,
338,"Howe of Idlicote, Baroness",Crossbench,Lord,,
340,"Howell of Guildford, Lord",Conservative,Lord,,
341,"Howells of St Davids, Baroness",Labour,Lord,,
342,"Howie of Troon, Lord",Labour,Lord,,
343,"Hoyle, Lord",Labour,Lord,,
344,"Hughes of Stretford, Baroness",Labour,Lord,,
345,"Hughes of Woodside, Lord",Labour,Lord,,
346,"Hunt of Chesterton, Lord",Labour,Lord,,
347,"Hunt of Kings Heath, Lord",Labour,Lord,,
348,"Hunt of Wirral, Lord",Conservative,Lord,,
349,"Hurd of Westwell, Lord",Conservative,Lord,,
350,"Hussain, Lord",Liberal Democrat,Lord,,
351,"Hussein-Ece, Baroness",Liberal Democrat,Lord,,
352,"Hutton of Furness, Lord",Labour,Lord,,
353,"Hutton, Lord",Crossbench,Lord,,
354,"Hylton, Lord",Crossbench,Lord,,
355,"Imbert, Lord",Crossbench,Lord,,
356,"Inge, Lord",Crossbench,Lord,,
357,"Inglewood, Lord",Conservative,Lord,,
358,"Irvine of Lairg, Lord",Labour,Lord,,
359,"Jacobs, Lord",Non-affiliated (current Member),Lord,,
360,"James of Blackheath, Lord",Conservative,Lord,,
361,"James of Holland Park, Baroness",Conservative,Lord,,
362,"Janner of Braunstone, Lord",Labour,Lord,,
363,"Janvrin, Lord",Crossbench,Lord,,
364,"Jay of Ewelme, Lord",Crossbench,Lord,,
365,"Jay of Paddington, Baroness",Labour,Lord,,
366,"Jenkin of Kennington, Baroness",Conservative,Lord,,
367,"Jenkin of Roding, Lord",Conservative,Lord,,
368,"Joffe, Lord",Labour,Lord,,
369,"Jolly, Baroness",Liberal Democrat,Lord,,
370,"Jones of Birmingham, Lord",Crossbench,Lord,,
371,"Jones of Cheltenham, Lord",Liberal Democrat,Lord,,
372,"Jones of Whitchurch, Baroness",Labour,Lord,,
373,"Jones, Lord",Labour,Lord,,
374,"Jopling, Lord",Conservative,Lord,,
375,"Jordan, Lord",Labour,Lord,,
376,"Judd, Lord",Labour,Lord,,
377,"Judge, Lord",Other,Lord,,
378,"Kakkar, Lord",Crossbench,Lord,,
379,"Kalms, Lord",Non-affiliated (current Member),Lord,,
381,"Kennedy of The Shaws, Baroness",Labour,Lord,,
382,"Kerr of Kinlochard, Lord",Crossbench,Lord,,
383,"Kerr of Tonaghmore, Lord",Other,Lord,,
384,"Kestenbaum, Lord",Labour,Lord,,
385,"Kidron, Baroness",Crossbench,Lord,,
386,"Kilclooney, Lord",Crossbench,Lord,,
387,"Kilpatrick of Kincraig, Lord",Other,Lord,,
388,"Kimball, Lord",Conservative,Lord,,
389,"King of Bow, Baroness",Labour,Lord,,
390,"King of Bridgwater, Lord",Conservative,Lord,,
391,"Kingsdown, Lord",Other,Lord,,
392,"Kingsmill, Baroness",Labour,Lord,,
393,"Kinnock of Holyhead, Baroness",Labour,Lord,,
394,"Kinnock, Lord",Labour,Lord,,
395,"Kirkham, Lord",Conservative,Lord,,
396,"Kirkhill, Lord",Labour,Lord,,
397,"Kirkwood of Kirkhope, Lord",Liberal Democrat,Lord,,
398,"Knight of Collingtree, Baroness",Conservative,Lord,,
399,"Knight of Weymouth, Lord",Labour,Lord,,
400,"Knights, Lord",Crossbench,Lord,,
401,"Kramer, Baroness",Liberal Democrat,Lord,,
402,"Krebs, Lord",Crossbench,Lord,,
403,"Laird, Lord",Ulster Unionist Party,Lord,,
404,"Laming, Lord",Crossbench,Lord,,
405,"Lamont of Lerwick, Lord",Conservative,Lord,,
406,"Lang of Monkton, Lord",Conservative,Lord,,
407,"Lawson of Blaby, Lord",Conservative,Lord,,
408,"Layard, Lord",Labour,Lord,,
409,"Lea of Crondall, Lord",Labour,Lord,,
410,"Leach of Fairford, Lord",Conservative,Lord,,
411,"Lee of Trafford, Lord",Liberal Democrat,Lord,,
412,"Leicester, Bishop",Bishops,Lord,,
413,"Leitch, Lord",Labour,Lord,,
414,"Lester of Herne Hill, Lord",Liberal Democrat,Lord,,
415,"Levene of Portsoken, Lord",Crossbench,Lord,,
416,"Levy, Lord",Labour,Lord,,
417,"Lewis of Newnham, Lord",Crossbench,Lord,,
418,"Lexden, Lord",Conservative,Lord,,
419,"Lichfield, Bishop",Bishops,Lord,,
420,"Liddell of Coatdyke, Baroness",Labour,Lord,,
421,"Liddle, Lord",Labour,Lord,,
422,"Lindsay, Earl",Conservative,Lord,,
423,"Lingfield, Lord",Conservative,Lord,,
424,"Linklater of Butterstone, Baroness",Liberal Democrat,Lord,,
425,"Lipsey, Lord",Labour,Lord,,
426,"Lister of Burtersett, Baroness",Labour,Lord,,
427,"Listowel, Earl",Crossbench,Lord,,
428,"Liverpool, Bishop",Bishops,Lord,,
429,"Liverpool, Earl",Conservative,Lord,,
430,"Lloyd of Berwick, Lord",Crossbench,Lord,,
431,"Lloyd-Webber, Lord",Conservative,Lord,,
432,"Lockwood, Baroness",Labour,Lord,,
433,"London, Bishop",Bishops,Lord,,
434,"Loomba, Lord",Liberal Democrat,Lord,,
435,"Lothian, Marquess",Conservative,Lord,,
436,"Low of Dalston, Lord",Crossbench,Lord,,
438,"Luce, Lord",Crossbench,Lord,,
439,"Ludford, Baroness",Other,Lord,,
